timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673903150101,311,HTTP Request,200,OK,usersOfW3school 1-21,text,true,,119681,119,7,7,https://www.w3schools.com/,199,0,139
1673903150180,268,HTTP Request,200,OK,usersOfW3school 1-23,text,true,,119681,119,7,7,https://www.w3schools.com/,202,0,139
1673903150221,249,HTTP Request,200,OK,usersOfW3school 1-24,text,true,,119681,119,7,7,https://www.w3schools.com/,188,0,130
1673903150260,294,HTTP Request,200,OK,usersOfW3school 1-25,text,true,,119681,119,8,8,https://www.w3schools.com/,195,0,135
1673903150302,305,HTTP Request,200,OK,usersOfW3school 1-26,text,true,,119681,119,8,8,https://www.w3schools.com/,205,0,146
1673903150379,256,HTTP Request,200,OK,usersOfW3school 1-28,text,true,,119681,119,8,8,https://www.w3schools.com/,192,0,133
1673903150341,295,HTTP Request,200,OK,usersOfW3school 1-27,text,true,,119681,119,7,7,https://www.w3schools.com/,195,0,136
1673903150459,244,HTTP Request,200,OK,usersOfW3school 1-30,text,true,,119681,119,8,8,https://www.w3schools.com/,185,0,128
1673903150419,295,HTTP Request,200,OK,usersOfW3school 1-29,text,true,,119681,119,7,7,https://www.w3schools.com/,194,0,133
1673903150500,254,HTTP Request,200,OK,usersOfW3school 1-31,text,true,,119681,119,7,7,https://www.w3schools.com/,191,0,132
1673903150539,264,HTTP Request,200,OK,usersOfW3school 1-32,text,true,,119681,119,7,7,https://www.w3schools.com/,199,0,137
1673903150579,293,HTTP Request,200,OK,usersOfW3school 1-33,text,true,,119681,119,8,8,https://www.w3schools.com/,193,0,134
1673903150621,302,HTTP Request,200,OK,usersOfW3school 1-34,text,true,,119681,119,8,8,https://www.w3schools.com/,200,0,138
1673903150660,297,HTTP Request,200,OK,usersOfW3school 1-35,text,true,,119681,119,8,8,https://www.w3schools.com/,191,0,132
1673903150699,290,HTTP Request,200,OK,usersOfW3school 1-36,text,true,,119681,119,8,8,https://www.w3schools.com/,189,0,132
